node_id,cluster_id,cluster_size
1635,0,1372
1640,0,1372
1656,0,1372
1659,0,1372
1673,0,1372
1682,0,1372
1683,0,1372
1684,0,1372
1686,0,1372
1698,0,1372
1702,0,1372
1704,0,1372
1707,0,1372
1713,0,1372
1715,0,1372
1720,0,1372
1727,0,1372
1734,0,1372
1753,0,1372
1759,0,1372
1767,0,1372
1769,0,1372
1782,0,1372
1795,0,1372
1807,0,1372
1808,0,1372
1810,0,1372
1811,0,1372
1812,0,1372
1816,0,1372
1826,0,1372
1836,0,1372
1837,0,1372
1839,0,1372
1851,0,1372
1853,0,1372
1856,0,1372
1858,0,1372
1867,0,1372
1874,0,1372
1875,0,1372
1885,0,1372
1905,0,1372
1914,0,1372
1915,0,1372
1921,0,1372
1926,0,1372
1936,0,1372
1939,0,1372
1943,0,1372
1956,0,1372
1964,0,1372
1970,0,1372
1974,0,1372
1977,0,1372
1980,0,1372
